year;sp500_close_abs;sp500_close_rel_chg;vix_abs;vix_rel_chg;target_1d;target_5d;target_10d;target_20d
1990;356.15;0.001687526;21.110001;-0.002362902;-0.001768918;-0.059862418;-0.047058824;-0.097739716
1990;355.52;-0.001768918;21.639999;0.025106489;-0.011363636;-0.048295455;-0.043485599;-0.088124437
1990;351.48;-0.011363636;20.43;-0.055914929;-0.018834642;-0.032832594;-0.05431319;-0.093234323
1990;344.86;-0.018834642;28.74;0.406754772;-0.030244157;-0.027083454;-0.049382358;-0.064663922
1990;334.43;-0.030244157;35.91;0.249478079;0.001196065;0.013186616;-0.017701761;-0.033908441
1990;334.83;0.001196065;32.75;-0.087997772;0.010512798;0.013618851;-0.038736075;-0.031180002
1990;338.35;0.010512798;28.27;-0.136793893;0.004699276;0.005053938;-0.064430324;-0.052874243
1990;339.94;0.004699276;24.389999;-0.137248001;-0.013002295;-0.022209802;-0.096722951;-0.048655645
1990;335.52;-0.013002295;25.75;0.055760601;0.009895088;-0.022919647;-0.071560563;-0.041398426
1990;338.84;0.009895088;25.74;-0.00038835;0.001623185;-0.030486365;-0.05135167;-0.052532169
1990;339.39;0.001623185;24.18;-0.060606061;0.00197413;-0.051651492;-0.053183653;-0.049647898
1990;340.06;0.00197413;23.309999;-0.03598019;-0.022554843;-0.069134859;-0.046668235;-0.062959478
1990;332.39;-0.022554843;27.16;0.165165215;-0.013718824;-0.076205662;-0.041156473;-0.046812479
1990;327.83;-0.013718824;27.530001;0.013623012;0.002074246;-0.049781899;-0.016075405;-0.030686636
1990;328.51;0.002074246;26.459999;-0.038866762;-0.020242915;-0.021521415;-0.016498737;-0.030166509
1990;321.86;-0.020242915;28.9;0.092214705;-0.016497856;-0.001615609;0.00786056;-0.016342509
1990;316.55;-0.016497856;30.549999;0.057093391;-0.029979466;0.024135208;0.012351919;-0.016016427
1990;307.06;-0.029979466;36.470001;0.193780759;0.014492282;0.037940468;0.053214356;0.01387351
1990;311.51;0.014492282;33.93;-0.06964631;0.031876986;0.035472376;0.032486919;-0.022214375
1990;321.44;0.031876986;29.629999;-0.126731536;-0.0003111;0.005133151;-0.0012444;-0.041002987
1990;321.34;-0.0003111;29.120001;-0.017212218;0.008869111;0.009491504;0.003734362;-0.050662849
1990;324.19;0.008869111;27.379999;-0.059752814;-0.016903668;-0.011505599;-0.017088744;-0.071624665
1990;318.71;-0.016903668;29.889999;0.091672757;0.012079947;0.014715572;-0.005898779;-0.039722632
1990;322.56;0.012079947;29.9;0.000334594;0.001643105;-0.002883185;-0.01484995;-0.023623512
