year;open_abs;high_abs;low_abs;close_abs;close_rel_chg;vol_abs;vol_rel_chg;range_abs;range_rel;1d_rel_chg;5d_rel_chg;10d_rel_chg;20d_rel_chg
1982;109.48;109.62;108.89;109.57;0.006799596;74690000;0.133900106;0.73;0.006662408;-0.00109519;0.010586839;0.007210003;-0.059231541
1982;109.19;110.07;109.19;109.45;-0.00109519;66170000;-0.114071496;0.88;0.008040201;0.009045226;0.019095477;-0.000182732;-0.060392873
1982;109.68;110.44;109.08;110.44;0.009045226;58160000;-0.121051836;1.36;0.012314379;0.000271641;0.008873597;-0.024447664;-0.070988772
1982;110.83;110.95;110.27;110.47;0.000271641;61090000;0.050378267;0.68;0.006155517;0.005431339;0.009142754;-0.024893636;-0.072870463
1982;110.16;111.48;110.16;111.07;0.005431339;58740000;-0.038467834;1.32;0.011884397;-0.003061133;0.000900333;-0.035833258;-0.065004051
1982;111.75;111.78;110.66;110.73;-0.003061133;53030000;-0.097208035;1.12;0.010114693;0.007315091;-0.003341461;-0.015804208;-0.059965682
1982;111.11;111.56;110.35;111.54;0.007315091;61060000;0.151423722;1.21;0.010848126;-0.001075847;-0.01891698;-0.03326161;-0.022413484
1982;112.15;112.39;111.38;111.42;-0.001075847;66770000;0.093514576;1.01;0.0090648;0.000538503;-0.033028182;-0.047388261;-0.025848142
1982;110.95;112.02;110.94;111.48;0.000538503;53870000;-0.193200539;1.08;0.009687836;-0.002780768;-0.033728023;-0.056691783;-0.020810908
1982;111.46;111.58;111.05;111.17;-0.002780768;47280000;-0.122331539;0.53;0.004767473;-0.007286138;-0.036700549;-0.067104435;0.01664118
1982;110.66;111.16;110.29;110.36;-0.007286138;37740000;-0.20177665;0.87;0.007883291;-0.008426966;-0.012504531;-0.06596593;0.052102211
1982;110.26;110.35;109.36;109.43;-0.008426966;45740000;0.211976683;0.99;0.009046879;-0.015443663;-0.014621219;-0.060221146;0.05409851
1982;109.42;109.42;107.53;107.74;-0.015443663;53830000;0.176869261;1.89;0.017542231;-0.000185632;-0.014850566;-0.047707444;0.091330982
1982;107.42;107.92;106.62;107.72;-0.000185632;55680000;0.034367453;1.3;0.012068325;-0.005848496;-0.023765317;-0.049201634;0.100538433
1982;107.35;107.95;107.01;107.09;-0.005848496;39270000;-0.294719828;0.94;0.008777664;0.017648707;-0.031562237;-0.030254926;0.093566159
1982;107.71;109.09;107.11;108.98;0.017648707;53460000;0.361344538;1.98;0.018168471;-0.010552395;-0.054138374;-0.044870618;0.079647642
1982;108.98;109.43;107.81;107.83;-0.010552395;60480000;0.131313131;1.62;0.015023648;-0.015672818;-0.046276546;0.011221367;0.10831865
1982;107.83;107.83;106.11;106.14;-0.015672818;53440000;-0.116402116;1.72;0.016205012;-0.009233088;-0.033352176;0.022611645;0.114094592
1982;106.1;106.1;104.76;105.16;-0.009233088;54700000;0.023577844;1.34;0.012742488;-0.013788513;-0.026055534;0.038037277;0.143875998
1982;105.16;105.16;103.67;103.71;-0.013788513;48660000;-0.110420475;1.49;0.014366985;-0.006074631;0.001349918;0.08976955;0.182913895
1982;103.69;103.69;102.2;103.08;-0.006074631;54560000;0.121249486;1.49;0.014454792;-0.002328289;0.009798215;0.126406674;0.177435002
1982;103.11;103.84;102.82;102.84;-0.002328289;52680000;-0.034457478;1.02;0.00991832;-0.002333722;0.060287826;0.121645274;0.188253598
1982;102.83;103.01;102.48;102.6;-0.002333722;49040000;-0.069096431;0.53;0.005165692;-0.001754386;0.057894737;0.146003899;0.188791423
1982;102.6;103.22;102.39;102.42;-0.001754386;50080000;0.021207178;0.83;0.008103886;0.013962117;0.065807459;0.157488772;0.181116969
1982;102.42;103.85;102.4;103.85;0.013962117;44720000;-0.107028754;1.45;0.013962446;0.002311026;0.088300433;0.12768416;0.17708233
1982;103.86;105.52;103.86;104.09;0.002311026;55420000;0.239266547;1.66;0.015947738;0.047555;0.115476991;0.130367951;0.182630416
1982;105.4;109.04;104.09;109.04;0.047555;92860000;0.675568387;4.95;0.045396185;-0.004585473;0.057868672;0.096019809;0.139856933
1982;109.04;111.58;108.46;108.54;-0.004585473;132690000;0.428925264;3.12;0.028745163;0.00571218;0.083287267;0.089460107;0.140316934
1982;108.53;109.86;108.34;109.16;0.00571218;78270000;-0.410128872;1.52;0.013924514;0.035360938;0.08602052;0.101960425;0.122663979
1982;109.19;113.02;109.19;113.02;0.035360938;95890000;0.225118181;3.83;0.033887807;0.027340294;0.036188285;0.085471598;0.083967439
1982;113.02;116.11;112.65;116.11;0.027340294;110310000;0.150380644;3.46;0.029799328;-0.006545517;0.01334941;0.045301869;0.075531823
1982;116.11;116.39;115.08;115.35;-0.006545517;121650000;0.102801197;1.31;0.01135674;0.019332466;0.036064153;0.059384482;0.074902471
1982;115.35;118.12;115.11;117.58;0.019332466;106200000;-0.127003699;3.01;0.025599592;0.008249702;0.005698248;0.037336282;0.052985202
1982;117.57;120.26;117.57;118.55;0.008249702;137330000;0.293126177;2.69;0.022690848;-0.012146774;0.014677351;0.020413328;0.040236187
1982;117.38;118.56;116.63;117.11;-0.012146774;74410000;-0.45816646;1.93;0.016480232;0.004696439;0.047562121;0.04380497;0.055588763
1982;117.05;117.66;115.79;117.66;0.004696439;59560000;-0.19956995;1.87;0.015893252;0.01572327;0.031531532;0.046234914;0.047424783
1982;117.65;119.6;117.65;119.51;0.01572327;86360000;0.44996642;1.95;0.016316626;-0.010543051;0.022508577;0.039996653;0.017739101
1982;119.52;120.05;117.98;118.25;-0.010543051;82830000;-0.040875405;2.07;0.017505285;0.017251586;0.031458774;0.046680761;0.018350951
1982;118.24;120.32;117.84;120.29;0.017251586;74740000;-0.097669926;2.48;0.020616843;0.019868651;0.005653005;0.018787929;0.013966248
1982;120.31;123.64;120.31;122.68;0.019868651;130910000;0.751538667;3.33;0.027143789;-0.010678187;-0.003586567;-0.001385719;-0.009537007
1982;122.68;122.68;121.19;121.37;-0.010678187;68960000;-0.47322588;1.49;0.01227651;0.006838593;0.014253934;0.028919832;0.005025954
1982;121.33;123.11;121.19;122.2;0.006838593;77960000;0.130510441;1.92;0.015711948;-0.00188216;0.01710311;0.014648118;0.030851064
1982;122.19;123.22;121.9;121.97;-0.00188216;73090000;-0.062467932;1.32;0.010822333;-0.008198737;0.014757727;0.015085677;0.055997376
1982;121.97;121.98;120.27;120.97;-0.008198737;71080000;-0.027500342;1.71;0.014135736;0.010498471;0.01306109;0.019426304;0.083326445
1982;120.94;122.24;120.25;122.24;0.010498471;59520000;-0.162633652;1.99;0.01627945;0.00703534;0.00220877;0.011289267;0.100049084
1982;122.27;123.69;122.27;123.1;0.00703534;83070000;0.395665323;1.42;0.011535337;0.009666937;0.014459789;0.001137287;0.092120227
1982;123.09;124.81;122.72;124.29;0.009666937;69680000;-0.161189358;2.09;0.016815512;-0.004183764;-0.00241371;-0.021401561;0.099927589
1982;124.28;124.88;123.65;123.77;-0.004183764;78900000;0.132319173;1.23;0.009937788;-0.009856993;0.00032318;-0.027066333;0.087258625
1982;123.76;123.76;122.34;122.55;-0.009856993;63950000;-0.189480355;1.42;0.011587107;-0.000326397;0.00628315;-0.004732762;0.089922481
1982;122.54;122.54;121.48;122.51;-0.000326397;58520000;-0.084910086;1.06;0.008652355;0.01934536;0.009060485;-0.008162599;0.116072157
1982;122.51;124.91;122.51;124.88;0.01934536;82920000;0.41695147;2.4;0.01921845;-0.007126842;-0.013132607;-0.023222293;0.093689942
1982;124.9;126.43;123.99;123.99;-0.007126842;113150000;0.364568259;2.44;0.019679006;-0.00145173;-0.019033793;0.01596903;0.122913138
1982;123.99;124.19;122.96;123.81;-0.00145173;68260000;-0.396730004;1.23;0.009934577;-0.003957677;-0.027380664;0.040303691;0.123172603
1982;123.79;123.8;123.11;123.32;-0.003957677;54600000;-0.200117199;0.69;0.005595199;0.002432695;-0.010947129;0.062682452;0.125770354
1982;123.32;123.62;122.75;123.62;0.002432695;44840000;-0.178754579;0.87;0.007037696;-0.003073936;-0.017068436;0.087768969;0.078466268
1982;123.62;124.16;123.21;123.24;-0.003073936;65900000;0.469669938;0.95;0.007708536;-0.01306394;-0.010223953;0.090879585;0.091204154
1982;123.24;123.24;121.28;121.63;-0.01306394;62550000;-0.050834598;1.96;0.016114445;-0.009948204;0.035681986;0.12398257;0.112307819
1982;121.62;121.62;120.14;120.42;-0.009948204;62610000;0.000959233;1.48;0.012290317;0.012871616;0.069589769;0.117505398;0.109367215
1982;120.4;121.97;120.15;121.97;0.012871616;65000000;0.038172816;1.82;0.014921702;-0.003771419;0.074444536;0.095105354;0.096335164
1982;121.97;121.97;120.56;121.51;-0.003771419;55650000;-0.143846154;1.41;0.011603983;0.003867994;0.106657888;0.12525718;0.114887664
1982;121.6;122.73;121.6;121.98;0.003867994;69770000;0.253728661;1.13;0.009263814;0.03271028;0.102147893;0.119691753;0.127151992
1982;122;125.97;122;125.97;0.03271028;93570000;0.341120826;3.97;0.03151544;0.022465666;0.085258395;0.105263158;0.134158927
1982;125.99;128.96;125.99;128.8;0.022465666;147070000;0.571764454;2.97;0.023059006;0.017468944;0.044798137;0.079658385;0.101319876
1982;128.79;131.11;128.79;131.05;0.017468944;122250000;-0.168763174;2.32;0.017703167;0.02609691;0.019229302;0.059366654;0.084776803
1982;131.06;135.53;131.06;134.47;0.02609691;138530000;0.133169734;4.47;0.033241615;-0.000223098;0.016806723;-0.008552093;0.04439652
1982;134.48;135.85;133.59;134.44;-0.000223098;126310000;-0.08821194;2.26;0.016810473;0.016884856;0.015917882;0.00029753;0.063820292
1982;134.42;137.97;134.14;136.71;0.016884856;139800000;0.106800728;3.83;0.028015507;-0.015653573;0.01843318;-0.01038695;0.032550655
1982;136.71;136.89;134.55;134.57;-0.015653573;107530000;-0.230829757;2.34;0.01738872;-0.007431077;0.033365535;-0.007282455;0.053355131
1982;134.55;134.61;133.28;133.57;-0.007431077;80290000;-0.253324654;1.33;0.009957326;0.023658007;0.0393801;0.001123007;0.044620798
1982;133.59;136.73;133.59;136.73;0.023658007;83790000;0.043591979;3.14;0.022964967;-0.001097053;-0.024939662;-0.009215242;0.002194105
1982;136.73;137.96;135.72;136.58;-0.001097053;100850000;0.203604249;2.24;0.016400644;0.019402548;-0.015375604;0.006662762;-0.008493191
1982;136.58;139.23;136.37;139.23;0.019402548;98680000;-0.021517105;2.86;0.02054155;-0.001221001;-0.028298499;0.026143791;-0.009337068
1982;139.23;140.27;137.63;139.06;-0.001221001;122460000;0.240980949;2.64;0.018984611;-0.001653962;-0.039335539;0.020063282;-0.005177621
1982;139.06;140.4;138.75;138.83;-0.001653962;101120000;-0.174260983;1.65;0.011885039;-0.039688828;-0.036807606;0.02398617;-0.013037528
1982;138.81;138.81;133.32;133.32;-0.039688828;83720000;-0.172072785;5.49;0.041179118;0.00870087;0.016126613;0.053405341;0.006750675
1982;133.29;134.48;131.5;134.48;0.00870087;102080000;0.219302437;2.98;0.022159429;0.0060232;0.02238251;0.063503867;-0.011525877
1982;134.48;135.92;134.48;135.29;0.0060232;81670000;-0.199941223;1.44;0.010643802;-0.0125656;0.056027792;0.043388277;-0.010422056
1982;135.28;135.42;133.59;133.59;-0.0125656;73590000;-0.098934737;1.83;0.01369863;0.000973127;0.061830975;0.061082416;0.009656411
1982;133.54;134.02;132.64;133.72;0.000973127;74830000;0.016850116;1.38;0.010320072;0.013087048;0.063116961;0.043448998;0.00358959
1982;133.72;136.03;133.22;135.47;0.013087048;73530000;-0.017372711;2.81;0.0207426;0.01491105;0.036687089;0.011515465;0.022588027
1982;135.48;138.51;135.48;137.49;0.01491105;104770000;0.424860601;3.03;0.022037966;0.039130119;0.040221107;-0.01505564;0.008946105
1982;137.53;142.88;137.53;142.87;0.039130119;137010000;0.307721676;5.35;0.03744663;-0.007139357;-0.011968923;-0.034576888;-0.028347449
1982;142.85;143.99;141.65;141.85;-0.007139357;149350000;0.090066419;2.34;0.016496299;0.002185407;-0.00070497;-0.024744448;-0.022277053
1982;141.85;142.43;141.32;142.16;0.002185407;96550000;-0.353531972;1.11;0.007808104;-0.012099043;-0.018500281;-0.036156443;-0.002743388
1982;142.12;142.12;139.98;140.44;-0.012099043;75240000;-0.220714656;2.14;0.015237824;0.018370835;-0.024280832;-0.044289376;0.016234691
1982;140.48;143.16;140.46;143.02;0.018370835;111220000;0.478203083;2.7;0.018878479;-0.013005174;-0.053139421;-0.070549573;-0.008390435
1982;143.04;144.36;140.8;141.16;-0.013005174;113240000;0.018162201;3.56;0.025219609;0.004179654;-0.022881836;-0.051572683;-0.008217625
1982;141.15;141.75;139.88;141.75;0.004179654;78410000;-0.307576828;1.87;0.01319224;-0.015661376;-0.024056437;-0.048465608;-0.015379189
1982;141.75;141.85;139.53;139.53;-0.015661376;95080000;0.212600434;2.32;0.016627249;-0.017917294;-0.017988963;-0.03819967;0.003010105
1982;139.54;139.54;137;137.03;-0.017917294;78900000;-0.170172486;2.54;0.018536087;-0.011749252;-0.020506458;0.010946508;0.002700139
