Symbol;Date;Open;High;Low;Close
BDIY:IND;31/10/2017;1522;1522;1522;1522
BDIY:IND;30/10/2017;1534;1534;1534;1534
BDIY:IND;27/10/2017;1546;1546;1546;1546
BDIY:IND;26/10/2017;1555;1555;1555;1555
BDIY:IND;25/10/2017;1573;1573;1573;1573
BDIY:IND;24/10/2017;1588;1588;1588;1588
BDIY:IND;23/10/2017;1586;1586;1586;1586
BDIY:IND;20/10/2017;1578;1578;1578;1578
BDIY:IND;19/10/2017;1582;1582;1582;1582
BDIY:IND;18/10/2017;1566;1566;1566;1566
BDIY:IND;17/10/2017;1552;1552;1552;1552
BDIY:IND;16/10/2017;1523;1523;1523;1523
BDIY:IND;13/10/2017;1485;1485;1485;1485
BDIY:IND;12/10/2017;1458;1458;1458;1458
BDIY:IND;11/10/2017;1433;1433;1433;1433
BDIY:IND;10/10/2017;1418;1418;1418;1418
BDIY:IND;09/10/2017;1411;1411;1411;1411
BDIY:IND;06/10/2017;1405;1405;1405;1405
BDIY:IND;05/10/2017;1382;1382;1382;1382
BDIY:IND;04/10/2017;1320;1320;1320;1320
BDIY:IND;03/10/2017;1308;1308;1308;1308
BDIY:IND;02/10/2017;1328;1328;1328;1328
BDIY:IND;29/09/2017;1356;1356;1356;1356
BDIY:IND;28/09/2017;1391;1391;1391;1391
BDIY:IND;27/09/2017;1429;1429;1429;1429
BDIY:IND;26/09/2017;1476;1476;1476;1476
BDIY:IND;25/09/2017;1503;1503;1503;1503
BDIY:IND;22/09/2017;1502;1502;1502;1502
BDIY:IND;21/09/2017;1470;1470;1470;1470
BDIY:IND;20/09/2017;1449;1449;1449;1449
BDIY:IND;19/09/2017;1415;1415;1415;1415
BDIY:IND;18/09/2017;1398;1398;1398;1398
BDIY:IND;15/09/2017;1385;1385;1385;1385
BDIY:IND;14/09/2017;1361;1361;1361;1361
BDIY:IND;13/09/2017;1337;1337;1337;1337
BDIY:IND;12/09/2017;1344;1344;1344;1344
BDIY:IND;11/09/2017;1355;1355;1355;1355
BDIY:IND;08/09/2017;1332;1332;1332;1332
BDIY:IND;07/09/2017;1296;1296;1296;1296
BDIY:IND;06/09/2017;1250;1250;1250;1250
BDIY:IND;05/09/2017;1215;1215;1215;1215
BDIY:IND;04/09/2017;1187;1187;1187;1187
BDIY:IND;01/09/2017;1183;1183;1183;1183
BDIY:IND;31/08/2017;1184;1184;1184;1184
BDIY:IND;30/08/2017;1181;1181;1181;1181
BDIY:IND;29/08/2017;1203;1203;1203;1203
BDIY:IND;25/08/2017;1209;1209;1209;1209
BDIY:IND;24/08/2017;1200;1200;1200;1200
BDIY:IND;23/08/2017;1222;1222;1222;1222
BDIY:IND;22/08/2017;1249;1249;1249;1249
BDIY:IND;21/08/2017;1266;1266;1266;1266
BDIY:IND;18/08/2017;1260;1260;1260;1260
BDIY:IND;17/08/2017;1247;1247;1247;1247
BDIY:IND;16/08/2017;1207;1207;1207;1207
BDIY:IND;15/08/2017;1169;1169;1169;1169
BDIY:IND;14/08/2017;1155;1155;1155;1155
BDIY:IND;11/08/2017;1138;1138;1138;1138
BDIY:IND;10/08/2017;1092;1092;1092;1092
BDIY:IND;09/08/2017;1050;1050;1050;1050
BDIY:IND;08/08/2017;1038;1038;1038;1038
BDIY:IND;07/08/2017;1036;1036;1036;1036
BDIY:IND;04/08/2017;1032;1032;1032;1032
BDIY:IND;03/08/2017;1023;1023;1023;1023
BDIY:IND;02/08/2017;993;993;993;993
BDIY:IND;01/08/2017;965;965;965;965
BDIY:IND;31/07/2017;946;946;946;946
BDIY:IND;28/07/2017;933;933;933;933
BDIY:IND;27/07/2017;942;942;942;942
BDIY:IND;26/07/2017;968;968;968;968
BDIY:IND;25/07/2017;980;980;980;980
BDIY:IND;24/07/2017;977;977;977;977
BDIY:IND;21/07/2017;977;977;977;977
BDIY:IND;20/07/2017;964;964;964;964
BDIY:IND;19/07/2017;948;948;948;948
BDIY:IND;18/07/2017;932;932;932;932
BDIY:IND;17/07/2017;912;912;912;912
BDIY:IND;14/07/2017;900;900;900;900
BDIY:IND;13/07/2017;888;888;888;888
BDIY:IND;12/07/2017;859;859;859;859
BDIY:IND;11/07/2017;830;830;830;830
BDIY:IND;10/07/2017;820;820;820;820
BDIY:IND;07/07/2017;822;822;822;822
BDIY:IND;06/07/2017;829;829;829;829
BDIY:IND;05/07/2017;847;847;847;847
BDIY:IND;04/07/2017;871;871;871;871
BDIY:IND;03/07/2017;882;882;882;882
BDIY:IND;30/06/2017;901;901;901;901
BDIY:IND;29/06/2017;920;920;920;920
BDIY:IND;28/06/2017;929;929;929;929
BDIY:IND;27/06/2017;903;903;903;903
BDIY:IND;26/06/2017;884;884;884;884
BDIY:IND;23/06/2017;870;870;870;870
BDIY:IND;22/06/2017;855;855;855;855
BDIY:IND;21/06/2017;844;844;844;844
BDIY:IND;20/06/2017;847;847;847;847
BDIY:IND;19/06/2017;848;848;848;848
BDIY:IND;16/06/2017;851;851;851;851
BDIY:IND;15/06/2017;855;855;855;855
BDIY:IND;14/06/2017;865;865;865;865
BDIY:IND;13/06/2017;870;870;870;870
BDIY:IND;12/06/2017;870;870;870;870
BDIY:IND;09/06/2017;849;849;849;849
BDIY:IND;08/06/2017;824;824;824;824
BDIY:IND;07/06/2017;821;821;821;821
BDIY:IND;06/06/2017;818;818;818;818
BDIY:IND;05/06/2017;821;821;821;821
BDIY:IND;02/06/2017;830;830;830;830
BDIY:IND;01/06/2017;850;850;850;850
BDIY:IND;31/05/2017;878;878;878;878
BDIY:IND;30/05/2017;900;900;900;900
BDIY:IND;29/05/2017;912;912;912;912
BDIY:IND;26/05/2017;912;912;912;912
BDIY:IND;25/05/2017;918;918;918;918
BDIY:IND;24/05/2017;934;934;934;934
BDIY:IND;23/05/2017;949;949;949;949
BDIY:IND;22/05/2017;954;954;954;954
BDIY:IND;19/05/2017;956;956;956;956
BDIY:IND;18/05/2017;957;957;957;957
BDIY:IND;17/05/2017;960;960;960;960
